Source,Target,Relation,Type,Label,Color
1,indierawk2k2,authored_by,,,
1,closed,has_state,,,
1,2019-05-05 21:22:54,closed_at,,,
1,11,has_commits,,,
1,2,has_commits,,,
1,ec41e808ef60ac446d7c6cf871a9063a28534111,includes_commit,,,
1,3,has_commits,,,
1,b3e3a0ce2a41ac7d68909f586446f9a4a66ada88,includes_commit,,,
1,4,has_commits,,,
1,f2c9538701e7116c273a5689cf202c82c5a09045,includes_commit,,,
1,5,has_commits,,,
1,50438d37c53f0fbfc9074a187ccfca56b827da9c,includes_commit,,,
1,6,has_commits,,,
1,c4c9a851fc66226e307ed56eab700a7ec2865fe2,includes_commit,,,
1,7,has_commits,,,
1,bc0383232d437fcc4b8a2b03e70b240339fa6efb,includes_commit,,,
closed,2,has_state,,,
closed,3,has_state,,,
closed,4,has_state,,,
closed,5,has_state,,,
closed,6,has_state,,,
closed,7,has_state,,,
11,cbaa5fb732528a61e016da16815de6dffc6cacf1,includes_commit,,,
11,40210c2e16c0bd9f3b07a02507d721e84eabec03,includes_commit,,,
11,9a54a918a0fbf722975ea2a2e86d855d1a88066e,includes_commit,,,
11,46f33f81fdae5c3373629cae800699611442eefb,includes_commit,,,
11,b175ef1dd5ca8741bd43b43bf17d47e9ef259828,includes_commit,,,
11,977c2d1aace75f433a60862a1f8f231c6e68944f,includes_commit,,,
11,e5d8f4d8b9290979481aecf1abb471b4f024aebc,includes_commit,,,
11,ebd05200cf9fd0af9acea5f348121e61ec586754,includes_commit,,,
11,cd385ab2d7671d1d9fdbbfd90788543f9f31c59f,includes_commit,,,
11,f35ac08f4aef8868d655517e00d15b4d9ce5fa5f,includes_commit,,,
11,0e85d5fdfbed766209b76315858e57c266cad033,includes_commit,,,
cbaa5fb732528a61e016da16815de6dffc6cacf1,Update,mentions_entity,,,
cbaa5fb732528a61e016da16815de6dffc6cacf1,O_Change,includes_file_change,,,
cbaa5fb732528a61e016da16815de6dffc6cacf1,2019-05-05 18:41:29,committed_at,,,
cbaa5fb732528a61e016da16815de6dffc6cacf1,README.md,mentions_entity,,,
